,Time,PPG
521,10.42,2723
522,10.44,3029
523,10.46,3045
524,10.48,2770
525,10.5,2414
526,10.52,2064
527,10.540000000000001,1742
528,10.56,1505
529,10.58,1360
530,10.6,1323
531,10.620000000000001,1376
532,10.64,1491
533,10.66,1617
534,10.68,1715
535,10.700000000000001,1765
536,10.72,1787
537,10.74,1766
538,10.76,1725
539,10.78,1680
540,10.8,1648
541,10.82,1703
542,10.84,1913
543,10.86,2321
544,10.88,2855
545,10.9,3464
546,10.92,3758
547,10.94,3525
548,10.96,3035
549,10.98,2590
550,11.0,2199
551,11.02,1871
552,11.040000000000001,1621
553,11.06,1504
554,11.08,1530
555,11.1,1650
556,11.120000000000001,1776
557,11.14,1876
558,11.16,1931
559,11.18,1934
560,11.200000000000001,1915
561,11.22,1882
562,11.24,1825
563,11.26,1767
564,11.28,1730
565,11.3,1819
566,11.32,2101
567,11.34,2534
568,11.36,3053
569,11.38,3513
570,11.4,3597
571,11.42,3258
572,11.44,2787
573,11.46,2384
574,11.48,2023
575,11.5,1726
576,11.52,1521
577,11.540000000000001,1454
578,11.56,1504
579,11.58,1646
580,11.6,1776
581,11.620000000000001,1857
582,11.64,1890
583,11.66,1873
584,11.68,1824
585,11.700000000000001,1755
586,11.72,1671
587,11.74,1593
588,11.76,1559
589,11.78,1673
590,11.8,1984
591,11.82,2435
592,11.84,2924
593,11.86,3319
594,11.88,3332
595,11.9,3003
596,11.92,2590
597,11.94,2167
598,11.96,1767
599,11.98,1441
600,12.0,1263
601,12.02,1211
602,12.040000000000001,1275
603,12.06,1406
604,12.08,1549
605,12.1,1645
606,12.120000000000001,1691
607,12.14,1703
608,12.16,1676
609,12.18,1609
610,12.200000000000001,1518
611,12.22,1424
612,12.24,1351
613,12.26,1407
614,12.280000000000001,1637
615,12.3,1931
616,12.32,2153
617,12.34,2161
618,12.36,1920
619,12.38,1571
620,12.4,1296
621,12.42,1019
622,12.44,615
623,12.46,128
624,12.48,0
625,12.5,0
626,12.52,467
627,12.540000000000001,1910
628,12.56,4095
629,12.58,4095
630,12.6,4095
631,12.620000000000001,4095
632,12.64,4095
633,12.66,4095
634,12.68,4095
635,12.700000000000001,4095
636,12.72,4095
637,12.74,4095
638,12.76,4095
639,12.780000000000001,4095
640,12.8,2976
641,12.82,0
642,12.84,0
643,12.86,0
644,12.88,0
645,12.9,0
646,12.92,0
647,12.94,0
648,12.96,0
649,12.98,0
650,13.0,0
651,13.02,0
652,13.040000000000001,0
653,13.06,0
654,13.08,0
655,13.1,0
656,13.120000000000001,0
657,13.14,0
658,13.16,0
659,13.18,144
660,13.200000000000001,2288
661,13.22,4095
662,13.24,4095
663,13.26,4095
664,13.280000000000001,4095
665,13.3,4095
666,13.32,4095
667,13.34,4095
668,13.36,4095
669,13.38,4095
670,13.4,4095
671,13.42,4095
672,13.44,4095
673,13.46,4095
674,13.48,4095
675,13.5,4095
676,13.52,4095
677,13.540000000000001,4095
678,13.56,4095
679,13.58,4095
680,13.6,4095
681,13.620000000000001,4095
682,13.64,4095
683,13.66,4095
684,13.68,4095
685,13.700000000000001,4095
686,13.72,4095
687,13.74,4095
688,13.76,4095
689,13.780000000000001,4095
690,13.8,4095
691,13.82,4095
692,13.84,4095
693,13.86,4095
694,13.88,4095
695,13.9,4095
696,13.92,4095
697,13.94,4095
698,13.96,4095
699,13.98,4095
700,14.0,4095
701,14.02,3264
702,14.040000000000001,2358
703,14.06,2103
704,14.08,2207
705,14.1,2471
706,14.120000000000001,2687
707,14.14,2775
708,14.16,2746
709,14.18,2640
710,14.200000000000001,2544
711,14.22,2654
712,14.24,2859
713,14.26,2999
714,14.280000000000001,3097
715,14.3,3167
716,14.32,3068
717,14.34,2818
718,14.36,2501
719,14.38,2029
720,14.4,1444
721,14.42,832
722,14.44,415
723,14.46,418
724,14.48,768
725,14.5,1253
726,14.52,1725
727,14.540000000000001,2095
728,14.56,2263
729,14.58,2278
730,14.6,2222
731,14.620000000000001,2058
732,14.64,1872
733,14.66,1747
734,14.68,1703
735,14.700000000000001,1733
736,14.72,1734
737,14.74,1692
738,14.76,1567
739,14.780000000000001,1306
740,14.8,879
741,14.82,344
742,14.84,0
743,14.86,0
744,14.88,71
745,14.9,538
746,14.92,1014
747,14.94,1361
748,14.96,1527
749,14.98,1563
750,15.0,1581
751,15.02,1719
752,15.040000000000001,1904
753,15.06,2082
754,15.08,2234
755,15.1,2275
756,15.120000000000001,2119
757,15.14,1872
758,15.16,1664
759,15.18,1783
760,15.200000000000001,2271
761,15.22,3163
762,15.24,4095
763,15.26,4095
764,15.280000000000001,4095
765,15.3,3200
766,15.32,2352
767,15.34,1872
768,15.36,1437
769,15.38,1274
770,15.4,1428
771,15.42,1600
772,15.44,1584
773,15.46,1549
774,15.48,1599
775,15.5,1599
776,15.52,1408
777,15.540000000000001,1183
778,15.56,1063
779,15.58,906
780,15.6,706
781,15.620000000000001,661
782,15.64,914
783,15.66,1455
784,15.68,2145
785,15.700000000000001,2938
786,15.72,4095
787,15.74,4095
788,15.76,4095
789,15.780000000000001,4095
790,15.8,4095
791,15.82,3638
792,15.84,2572
793,15.860000000000001,2035
794,15.88,1743
795,15.9,1615
796,15.92,1651
797,15.94,1813
798,15.96,2079
799,15.98,2361
800,16.0,2449
801,16.02,2297
802,16.04,1981
803,16.06,1663
804,16.080000000000002,1488
805,16.1,1452
806,16.12,1625
807,16.14,2047
808,16.16,2627
809,16.18,3565
810,16.2,4095
811,16.22,4095
812,16.240000000000002,4095
813,16.26,3462
814,16.28,2735
815,16.3,2313
816,16.32,1781
817,16.34,1145
818,16.36,627
819,16.38,355
820,16.4,263
821,16.42,336
822,16.44,650
823,16.46,1197
824,16.48,1875
825,16.5,2512
826,16.52,3051
827,16.54,3375
828,16.56,3454
829,16.580000000000002,3402
830,16.6,3105
831,16.62,2693
832,16.64,2640
833,16.66,2940
834,16.68,3242
835,16.7,3149
836,16.72,2740
837,16.740000000000002,2285
838,16.76,1691
839,16.78,959
840,16.8,276
841,16.82,20
842,16.84,314
843,16.86,1075
844,16.88,1872
845,16.9,2236
846,16.92,2290
847,16.94,2179
848,16.96,1910
849,16.98,1670
850,17.0,1613
851,17.02,1628
852,17.04,1535
853,17.06,1423
854,17.080000000000002,1472
855,17.1,1744
856,17.12,2105
857,17.14,2387
858,17.16,2577
859,17.18,2638
860,17.2,2572
861,17.22,2317
862,17.240000000000002,1846
863,17.26,1330
864,17.28,1003
865,17.3,773
866,17.32,541
867,17.34,394
868,17.36,511
869,17.38,826
870,17.400000000000002,1153
871,17.42,1391
872,17.44,1527
873,17.46,1622
874,17.48,1601
875,17.5,1392
876,17.52,1140
877,17.54,1139
878,17.56,1339
879,17.580000000000002,1493
880,17.6,1703
881,17.62,1938
882,17.64,2165
883,17.66,2298
884,17.68,2287
885,17.7,2057
886,17.72,1618
887,17.740000000000002,1157
888,17.76,899
889,17.78,805
890,17.8,774
891,17.82,927
892,17.84,1375
893,17.86,1867
894,17.88,2142
895,17.900000000000002,2174
896,17.92,2211
897,17.94,2287
898,17.96,2282
899,17.98,2138
900,18.0,1951
901,18.02,1849
902,18.04,1840
903,18.06,2109
904,18.080000000000002,2806
905,18.1,4095
906,18.12,4095
907,18.14,4095
908,18.16,4095
909,18.18,4095
910,18.2,4095
911,18.22,3046
912,18.240000000000002,2164
913,18.26,1648
914,18.28,1534
915,18.3,1807
916,18.32,2219
917,18.34,2624
918,18.36,2939
919,18.38,3043
920,18.400000000000002,2876
921,18.42,2624
922,18.44,2495
923,18.46,2519
924,18.48,2578
925,18.5,2688
926,18.52,3211
927,18.54,4095
928,18.56,4095
929,18.580000000000002,4095
930,18.6,4095
931,18.62,4095
932,18.64,4095
933,18.66,4095
934,18.68,4095
935,18.7,4095
936,18.72,4095
937,18.740000000000002,4095
938,18.76,4095
939,18.78,4095
940,18.8,4095
941,18.82,4095
942,18.84,4095
943,18.86,4095
944,18.88,4095
945,18.900000000000002,4095
946,18.92,4095
947,18.94,4095
948,18.96,4095
949,18.98,4095
950,19.0,4095
951,19.02,4095
952,19.04,4095
953,19.06,4095
954,19.080000000000002,4095
955,19.1,4095
956,19.12,4095
957,19.14,4095
958,19.16,4095
959,19.18,4095
960,19.2,4095
961,19.22,4095
962,19.240000000000002,4095
963,19.26,4095
964,19.28,3485
965,19.3,2217
966,19.32,1457
967,19.34,903
968,19.36,551
969,19.38,379
970,19.400000000000002,336
971,19.42,384
972,19.44,499
973,19.46,645
974,19.48,800
975,19.5,1153
976,19.52,1520
977,19.54,1864
978,19.56,2112
979,19.580000000000002,2208
980,19.6,2031
981,19.62,1570
982,19.64,949
983,19.66,431
984,19.68,208
985,19.7,304
986,19.72,598
987,19.740000000000002,961
988,19.76,1348
989,19.78,1671
990,19.8,1878
991,19.82,1926
992,19.84,1776
993,19.86,1603
994,19.88,1535
995,19.900000000000002,1584
996,19.92,1689
997,19.94,1791
998,19.96,1862
999,19.98,1982
1000,20.0,2191
1001,20.02,2444
1002,20.04,2625
1003,20.06,2559
1004,20.080000000000002,2193
1005,20.1,1547
1006,20.12,720
1007,20.14,0
1008,20.16,0
1009,20.18,0
1010,20.2,0
1011,20.22,0
1012,20.240000000000002,0
1013,20.26,0
1014,20.28,227
1015,20.3,469
1016,20.32,531
1017,20.34,423
1018,20.36,275
1019,20.38,155
1020,20.400000000000002,16
1021,20.42,0
1022,20.44,0
1023,20.46,0
1024,20.48,0
1025,20.5,213
1026,20.52,843
1027,20.54,1669
1028,20.56,2372
1029,20.580000000000002,2799
1030,20.6,2822
1031,20.62,2515
1032,20.64,2081
1033,20.66,1561
1034,20.68,1099
1035,20.7,885
1036,20.72,944
1037,20.740000000000002,1138
1038,20.76,1338
1039,20.78,1527
1040,20.8,1655
1041,20.82,1626
1042,20.84,1424
1043,20.86,1165
1044,20.88,947
1045,20.900000000000002,814
1046,20.92,772
1047,20.94,870
1048,20.96,1075
1049,20.98,1294
1050,21.0,1551
1051,21.02,1909
1052,21.04,2414
1053,21.06,2962
1054,21.080000000000002,3344
1055,21.1,3303
1056,21.12,3008
1057,21.14,2642
1058,21.16,2221
1059,21.18,1709
1060,21.2,1219
1061,21.22,911
1062,21.240000000000002,827
1063,21.26,834
1064,21.28,866
1065,21.3,979
1066,21.32,1105
1067,21.34,1136
1068,21.36,1089
1069,21.38,1039
1070,21.400000000000002,973
1071,21.42,907
1072,21.44,913
1073,21.46,994
1074,21.48,1152
1075,21.5,1339
1076,21.52,1560
1077,21.54,1856
1078,21.56,2288
1079,21.580000000000002,2800
1080,21.6,3278
1081,21.62,3345
1082,21.64,2917
1083,21.66,2352
1084,21.68,1762
1085,21.7,1239
1086,21.72,893
1087,21.740000000000002,752
1088,21.76,830
1089,21.78,1104
1090,21.8,1449
1091,21.82,1663
1092,21.84,1674
1093,21.86,1503
1094,21.88,1305
1095,21.900000000000002,1087
1096,21.92,865
1097,21.94,697
1098,21.96,624
1099,21.98,671
1100,22.0,807
1101,22.02,981
1102,22.04,1170
1103,22.06,1535
1104,22.080000000000002,2170
1105,22.1,2853
1106,22.12,3536
1107,22.14,3831
1108,22.16,3738
1109,22.18,3387
1110,22.2,2873
1111,22.22,2358
1112,22.240000000000002,1936
1113,22.26,1851
1114,22.28,2097
1115,22.3,2386
1116,22.32,2556
1117,22.34,2520
1118,22.36,2325
1119,22.38,2046
1120,22.400000000000002,1667
1121,22.42,1214
1122,22.44,863
1123,22.46,724
1124,22.48,689
1125,22.5,650
1126,22.52,606
1127,22.54,624
1128,22.56,831
1129,22.580000000000002,1279
1130,22.6,1760
1131,22.62,2145
1132,22.64,2320
1133,22.66,2206
1134,22.68,1808
1135,22.7,1252
1136,22.72,736
1137,22.740000000000002,421
1138,22.76,308
1139,22.78,436
1140,22.8,915
1141,22.82,1629
1142,22.84,2259
1143,22.86,2512
1144,22.88,2467
1145,22.900000000000002,2453
1146,22.92,2432
1147,22.94,2238
1148,22.96,2034
1149,22.98,1769
1150,23.0,1365
1151,23.02,990
1152,23.04,653
1153,23.06,370
1154,23.080000000000002,365
1155,23.1,810
1156,23.12,1662
1157,23.14,2641
1158,23.16,4082
1159,23.18,4095
1160,23.2,4095
1161,23.22,4095
1162,23.240000000000002,3033
