,Time,PPG
7031,140.62,1422.3714704957308
7032,140.64000000000001,1630.2076677392104
7033,140.66,2168.44391129045
7034,140.68,3008.936665667514
7035,140.70000000000002,3828.6850802990093
7036,140.72,4240.05782168847
7037,140.74,4225.583701662704
7038,140.76,3964.534892188013
7039,140.78,3427.1125238623085
7040,140.8,2636.2766474299333
7041,140.82,1899.7895126622311
7042,140.84,1462.7670448327858
7043,140.86,1323.8955273284378
7044,140.88,1386.8970796839455
7045,140.9,1563.7473640795727
7046,140.92000000000002,1769.2862876950085
7047,140.94,1914.431186922763
7048,140.96,1943.548211074596
7049,140.98,1861.0470669845772
7050,141.0,1711.669755837681
7051,141.02,1543.1501915100866
7052,141.04,1392.5988932217783
7053,141.06,1307.4721652086255
7054,141.08,1370.5788861762653
7055,141.1,1686.2820195573643
7056,141.12,2360.407660492091
7057,141.14000000000001,3318.1253466612643
7058,141.16,4102.371043176717
7059,141.18,4329.277776910955
7060,141.20000000000002,4183.389720263735
7061,141.22,4047.62176577661
7062,141.24,4025.7247752522676
7063,141.26,3886.2588931044465
7064,141.28,3323.4595091701294
7065,141.3,2438.9818681697484
7066,141.32,1699.5885172852786
7067,141.34,1371.2785635195987
7068,141.36,1377.1320499263666
7069,141.38,1550.4721250163032
7070,141.4,1763.8771454046673
7071,141.42000000000002,1920.7922927454438
7072,141.44,1958.8044244418238
7073,141.46,1882.03981856343
7074,141.48,1751.704112756876
7075,141.5,1627.1373381147741
7076,141.52,1538.8834358383467
7077,141.54,1528.7089169184678
7078,141.56,1679.955495352982
7079,141.58,2084.642766625383
7080,141.6,2775.7975736510252
7081,141.62,3590.0741859585337
7082,141.64000000000001,4105.881739426705
7083,141.66,3951.584390888087
7084,141.68,3174.6920648656337
7085,141.70000000000002,2177.737262411196
7086,141.72,1338.143745708268
7087,141.74,769.924492463472
7088,141.76,427.6839347710378
7089,141.78,278.6740477575883
7090,141.8,319.7041064461029
7091,141.82,523.9298755960099
7092,141.84,827.3732825693656
7093,141.86,1170.8444493451739
7094,141.88,1545.0592588848535
7095,141.9,1982.2799194263198
7096,141.92000000000002,2527.5283429108254
7097,141.94,3190.9875199499993
7098,141.96,3825.6846905992043
7099,141.98,4180.670801021616
7100,142.0,4207.1529632876645
7101,142.02,4086.962900317372
7102,142.04,3956.7376984654466
7103,142.06,3880.3480298784934
7104,142.08,3927.3733388115315
7105,142.1,4054.2907889992102
7106,142.12,4130.119435656454
7107,142.14000000000001,4123.0060616444725
7108,142.16,4094.0614945251277
7109,142.18,4084.622789695324
7110,142.20000000000002,4090.982367007734
7111,142.22,4054.3410043863782
7112,142.24,3725.318015076932
7113,142.26,2766.8974499281203
7114,142.28,1340.9213444058048
7115,142.3,174.38585459288709
7116,142.32,-251.31420260814485
7117,142.34,-143.13227110377076
7118,142.36,33.19677022004912
7119,142.38,65.3855641667995
7120,142.4,15.68327832131597
7121,142.42000000000002,-16.656873904093104
7122,142.44,-12.548999741905096
7123,142.46,0.6647877162126621
7124,142.48,4.739012005942068
7125,142.5,1.7486769223408531
7126,142.52,-0.952020992045503
7127,142.54,-1.020321095624455
7128,142.56,-0.08897488193897063
7129,142.58,0.32540216515972425
7130,142.6,0.16792251143246112
7131,142.62,-0.045327780224199116
7132,142.64000000000001,55.788494914363035
7133,142.66,324.08125098317544
7134,142.68,850.498668909506
7135,142.70000000000002,1357.3825139092241
7136,142.72,1492.9998008526568
7137,142.74,1204.7412207300774
7138,142.76,738.3264139603928
7139,142.78,384.7944746458624
7140,142.8,279.04608760613155
7141,142.82,376.62797321024567
7142,142.84,567.6173965372153
7143,142.86,781.9974460208282
7144,142.88,991.0917535720741
7145,142.9,1166.61394442099
7146,142.92000000000002,1289.7481734052383
7147,142.94,1383.7941393885421
7148,142.96,1498.8928054050973
7149,142.98,1656.6478977603333
7150,143.0,1821.217357116364
7151,143.02,1923.746576573309
7152,143.04,1905.4511465225405
7153,143.06,1759.7180895028382
7154,143.08,1577.9408008256805
7155,143.1,1545.5692499700137
7156,143.12,1840.0028892736173
7157,143.14000000000001,2531.1635102885075
7158,143.16,3448.7095600420007
7159,143.18,4137.141695437497
7160,143.20000000000002,4303.883158960871
7161,143.22,4161.416637215684
7162,143.24,4047.606624377406
7163,143.26,4051.3884901873676
7164,143.28,4093.5546543517758
7165,143.3,4103.684878718481
7166,143.32,3956.972530938962
7167,143.34,3440.6908665996234
7168,143.36,2616.7942776648715
7169,143.38,1876.0845958665032
7170,143.4,1457.4742536725205
7171,143.42000000000002,1298.7046214069755
7172,143.44,1259.9429423229285
7173,143.46,1255.1533353663963
7174,143.48,1256.153809866742
7175,143.5,1264.9444917392739
7176,143.52,1293.073210517121
7177,143.54,1343.3962097270044
7178,143.56,1399.2068052978802
7179,143.58,1439.1725853271219
7180,143.6,1477.1050616550833
7181,143.62,1589.5321263458472
7182,143.64000000000001,1880.3079032673963
7183,143.66,2425.4708283230834
7184,143.68,3185.5709859853005
7185,143.70000000000002,3889.718784616047
7186,143.72,4225.8981510479225
7187,143.74,4122.490441818188
7188,143.76,3616.8695733569143
7189,143.78,2779.806519097979
7190,143.8,1849.2244724637133
7191,143.82,1104.28823863322
7192,143.84,682.5888728380803
7193,143.86,599.5936030001367
7194,143.88,806.837554206087
7195,143.9,1209.876048830539
7196,143.92000000000002,1687.1219589900666
7197,143.94,2115.834014050285
7198,143.96,2399.4957260200335
7199,143.98,2496.9719281547295
7200,144.0,2432.5056326756244
7201,144.02,2269.547929994116
7202,144.04,2065.6847707967586
7203,144.06,1850.041796656771
7204,144.08,1634.4796068073965
7205,144.1,1436.6064946042497
7206,144.12,1303.325909026253
7207,144.14000000000001,1318.3087269243536
7208,144.16,1572.741706838452
7209,144.18,2121.4908144417973
7210,144.20000000000002,2921.8811156304073
7211,144.22,3729.774493732217
7212,144.24,4197.036371047083
7213,144.26,4240.524129248052
7214,144.28,4016.6753949912
7215,144.3,3546.4264413841033
7216,144.32,2842.042373909404
7217,144.34,2132.176046630095
7218,144.36,1622.6601618288641
7219,144.38,1333.1087850156118
7220,144.4,1199.8150626688018
7221,144.42000000000002,1159.4647289818931
7222,144.44,1162.200610918591
7223,144.46,1168.3684947469462
7224,144.48,1151.9500403640109
7225,144.5,1116.8703093981565
7226,144.52,1097.0945432143735
7227,144.54,1114.9218932518172
7228,144.56,1149.905628219165
7229,144.58,1160.2846174764095
7230,144.6,1119.9099206334658
7231,144.62,1038.3286055487138
7232,144.64000000000001,970.7188377731259
7233,144.66,1014.7693083993407
7234,144.68,1267.193869669805
7235,144.70000000000002,1747.1016661908225
7236,144.72,2366.086437902339
7237,144.74,2955.909501601856
7238,144.76,3283.322393058035
7239,144.78,3155.6177842979305
7240,144.8,2621.902096262449
7241,144.82,1942.529076937737
7242,144.84,1330.8140325565998
7243,144.86,850.9251257835921
7244,144.88,521.1432699470595
7245,144.9,371.84474230986893
7246,144.92000000000002,395.8727862164599
7247,144.94,536.8167691233837
7248,144.96,743.4910304903814
7249,144.98,977.7168740576203
7250,145.0,1178.6230906469711
7251,145.02,1284.093306217255
7252,145.04,1288.6939462998105
7253,145.06,1244.970940469503
7254,145.08,1213.4822001681207
7255,145.1,1224.9433829653606
7256,145.12,1282.9741388781074
7257,145.14000000000001,1394.7002649054725
7258,145.16,1587.4938366433778
7259,145.18,1897.6066867591003
7260,145.20000000000002,2404.2852863147973
7261,145.22,3149.9686316161515
7262,145.24,3885.481849299532
7263,145.26,4242.794089801102
7264,145.28,4215.482125952789
7265,145.3,4090.4142397844835
7266,145.32,4049.855511866719
7267,145.34,4077.6577969829386
7268,145.36,4103.7725724161255
7269,145.38,3948.8622632664096
7270,145.4,3268.559692265874
7271,145.42000000000002,2084.9570751080028
7272,145.44,1047.7795420587745
7273,145.46,729.498651738131
7274,145.48,1077.017247739232
7275,145.5,1632.4173095710266
7276,145.52,1979.2758827637276
7277,145.54,1973.3727022497837
7278,145.56,1713.5399660349603
7279,145.58,1395.5044358093132
7280,145.6,1170.7261069155097
7281,145.62,1088.0699457739674
7282,145.64000000000001,1127.311704847957
7283,145.66,1251.9827783224541
7284,145.68,1429.2570056328625
7285,145.70000000000002,1641.5216309165603
7286,145.72,1912.8675300850327
7287,145.74,2313.328228736605
7288,145.76,2912.6734541483
7289,145.78,3624.0688504085188
7290,145.8,4134.937392914504
7291,145.82,4250.124424205142
7292,145.84,4086.3050500141344
7293,145.86,3756.725902203133
7294,145.88,3294.5416592763636
7295,145.9,2837.510611665243
7296,145.92000000000002,2532.131774473504
7297,145.94,2382.2964421770757
7298,145.96,2307.837877133926
7299,145.98,2236.571498617196
7300,146.0,2117.212497880005
7301,146.02,1921.2607079137583
7302,146.04,1660.6705807908395
7303,146.06,1390.494858739486
7304,146.08,1182.076616349573
7305,146.1,1082.2303484116042
7306,146.12,1099.0665660357988
7307,146.14000000000001,1214.640473995854
7308,146.16,1391.8945320947284
7309,146.18,1584.5537002123422
7310,146.20000000000002,1768.604027563304
7311,146.22,1978.5544486196563
7312,146.24,2309.9335675768175
7313,146.26,2867.204653895351
7314,146.28,3583.541593685232
7315,146.3,4120.480280584377
7316,146.32,4122.803574248554
7317,146.34,3500.52032503306
7318,146.36,2517.496910134078
7319,146.38,1608.9573453884102
7320,146.4,1006.4279654526689
7321,146.42000000000002,692.4753257365344
7322,146.44,616.2999874372505
7323,146.46,761.8717062124226
7324,146.48,1090.4269674313746
7325,146.5,1509.1988856597366
7326,146.52,1905.4980564214557
7327,146.54,2192.2010154163
7328,146.56,2318.1683319486096
7329,146.58,2257.4832252589094
7330,146.6,2011.6535561695505
7331,146.62,1630.3939775196081
7332,146.64000000000001,1223.6641244444997
7333,146.66,923.0266844513011
7334,146.68,806.5626785794693
7335,146.70000000000002,869.5499664891121
7336,146.72,1074.5723917554833
7337,146.74,1412.7253102513032
7338,146.76,1901.8727754977845
7339,146.78,2567.0807248867777
7340,146.8,3353.1015932660853
7341,146.82,3984.7615425120675
7342,146.84,4084.462433708314
7343,146.86,3505.1209890840955
7344,146.88,2507.2040134021663
7345,146.9,1523.3434670799934
7346,146.92000000000002,773.5125944105588
7347,146.94,268.79979173254026
7348,146.96,7.677981863574035
7349,146.98,-8.151002609102612
7350,147.0,185.23493090892566
7351,147.02,512.6054194708094
7352,147.04,865.3474930068825
7353,147.06,1140.409794513479
7354,147.08,1293.181242545174
7355,147.1,1343.9323728693266
7356,147.12,1337.4793867845478
7357,147.14000000000001,1297.4984862724657
7358,147.16,1212.4064482268498
7359,147.18,1058.9888129830747
7360,147.20000000000002,837.5521801219338
7361,147.22,588.3517708547793
7362,147.24,398.9085848780225
7363,147.26,403.38173505134864
7364,147.28,717.8715153650897
7365,147.3,1321.8709920260965
7366,147.32,2018.4674861323824
7367,147.34,2544.239540976727
7368,147.36,2731.090376667979
7369,147.38,2591.665892667721
7370,147.4,2287.769589020044
7371,147.42000000000002,2018.5073520328826
7372,147.44,1914.4367762718505
7373,147.46,2006.4959306115911
7374,147.48,2262.5761988610707
7375,147.5,2640.8068637682663
7376,147.52,3103.3350154617283
7377,147.54,3566.0281096662543
7378,147.56,3873.032359385248
7379,147.58,3886.055313743456
7380,147.6,3603.118473441549
7381,147.62,3175.108003072564
7382,147.64000000000001,2788.1900631946764
7383,147.66,2524.9939004998764
7384,147.68,2357.3751248822277
7385,147.70000000000002,2246.785502476094
7386,147.72,2219.8143887996794
7387,147.74,2365.308034866828
7388,147.76,2802.159506690454
7389,147.78,3498.582030080946
7390,147.8,4094.40390826275
7391,147.82,4273.433940012258
7392,147.84,4164.674041450018
7393,147.86,4059.923996990662
7394,147.88,4055.4104390203474
7395,147.9,4082.095087499015
7396,147.92000000000002,3916.6417364025924
7397,147.94,3235.0908178697036
7398,147.96,2080.9632377527846
7399,147.98,951.2647634628704
7400,148.0,228.12737548792967
7401,148.02,-56.819085530961246
7402,148.04,-65.5142265749843
7403,148.06,-1.0089713269717038
7404,148.08,23.851875640559452
7405,148.1,10.505570343514941
7406,148.12,-4.052973591069933
7407,148.14000000000001,-5.427859429016449
7408,148.16,-0.832254077875624
7409,148.18,1.5808188158298888
7410,148.20000000000002,0.9579731882205182
7411,148.22,-0.16064156156650167
7412,148.24,69.4507993227022
7413,148.26,398.17521125916096
7414,148.28,1061.5056607139377
7415,148.3,1811.2962499480352
7416,148.32,2291.3289114031463
7417,148.34,2346.3674080957053
7418,148.36,2059.636392938965
7419,148.38,1616.4300916934667
7420,148.4,1182.5348582874744
7421,148.42000000000002,860.6798664873639
7422,148.44,701.2160599367387
7423,148.46,720.2971907636284
7424,148.48,896.4229908918426
7425,148.5,1162.3617308034054
7426,148.52,1422.08422613928
7427,148.54,1588.5810353078327
7428,148.56,1610.5097224692533
7429,148.58,1480.5602952455395
7430,148.6,1230.582420716273
7431,148.62,904.969004441966
7432,148.64000000000001,539.1475996988883
7433,148.66,195.46022462506374
7434,148.68,-18.700448801558125
7435,148.70000000000002,-60.618511535621266
7436,148.72,-16.099983812153603
7437,148.74,17.68503540587657
7438,148.76,61.76836678708019
7439,148.78,218.24289084517028
7440,148.8,464.30408382526804
7441,148.82,594.059621710557
7442,148.84,461.46084962259937
7443,148.86,172.8941981059169
7444,148.88,-36.070248826326335
7445,148.9,-67.7667723341155
7446,148.92000000000002,-14.170297869783479
7447,148.94,18.372821394513252
7448,148.96,12.767303173106693
7449,148.98,-1.1773619384219502
7450,149.0,0.9800357386599217
7451,149.02,61.29389744504925
7452,149.04,244.87157685227305
7453,149.06,528.3975630013292
7454,149.08,757.3481297224372
7455,149.1,781.0432514062256
7456,149.12,588.0930267213399
7457,149.14000000000001,320.58003278781865
7458,149.16,163.35351977811973
7459,149.18,218.3147921122491
7460,149.20000000000002,495.50144859347984
7461,149.22,974.1438503425358
7462,149.24,1619.0246313793982
7463,149.26,2379.4322967899993
7464,149.28,3183.419248175439
7465,149.3,3858.9953317053337
7466,149.32,4195.640634307169
7467,149.34,4201.318087914398
7468,149.36,4081.2251434152677
7469,149.38,3949.2410995375967
7470,149.4,3805.1992542864605
7471,149.42000000000002,3710.6596528979903
7472,149.44,3762.126382736777
7473,149.46,3937.3064462122993
7474,149.48,4095.542771035929
7475,149.5,4141.707107081215
7476,149.52,4091.5718591599943
7477,149.54,3938.6591448601557
7478,149.56,3619.0398765759555
7479,149.58,3171.7536960537263
7480,149.6,2768.5084050812593
7481,149.62,2540.4782431669014
7482,149.64000000000001,2493.9442434438147
7483,149.66,2606.0847285326963
7484,149.68,2945.512958003949
7485,149.70000000000002,3530.8759940462223
7486,149.72,4071.4564089760834
7487,149.74,4254.6369408801465
7488,149.76,4165.320670731756
7489,149.78,4066.9337076105235
7490,149.8,4058.125769095479
7491,149.82,4089.5115576659127
7492,149.84,4013.382638045876
7493,149.86,3593.503411245608
7494,149.88,2806.4342545549507
7495,149.9,2019.060833390962
7496,149.92000000000002,1592.3763079752543
7497,149.94,1547.0648489032963
7498,149.96,1695.0779814080524
7499,149.98,1867.4388286334643
7500,150.0,1982.550051924026
7501,150.02,2016.2585747876687
7502,150.04,1967.0125746913636
7503,150.06,1826.0112579142187
7504,150.08,1564.0188205571699
7505,150.1,1189.8548493708747
7506,150.12,855.5324119437931
7507,150.14000000000001,843.6490477531677
7508,150.16,1366.332000952539
7509,150.18,2375.2876385920554
7510,150.20000000000002,3498.410755838707
7511,150.22,4207.374580671433
7512,150.24,4314.685724988267
7513,150.26,4140.827034688513
7514,150.28,4035.1190063156187
7515,150.3,3998.2952631643916
7516,150.32,3777.6290503324976
7517,150.34,3258.613390621229
7518,150.36,2689.3935455244014
7519,150.38,2380.197294179734
7520,150.4,2364.996548240325
7521,150.42000000000002,2483.9538177174204
7522,150.44,2605.769143424702
7523,150.46,2681.31678325107
7524,150.48,2691.4753336745916
7525,150.5,2631.146085547983
7526,150.52,2526.43138394675
7527,150.54,2423.4261204690556
7528,150.56,2356.260911940441
7529,150.58,2344.1046106196322
7530,150.6,2419.3278877874
7531,150.62,2639.382901889564
7532,150.64000000000001,3053.433027191854
7533,150.66,3592.662007500193
7534,150.68,3965.9312581563336
7535,150.70000000000002,3839.6194421398977
7536,150.72,3219.093114176868
7537,150.74,2461.945720421252
7538,150.76,1874.2498589416302
7539,150.78,1488.7584625743666
7540,150.8,1217.2840084983982
7541,150.82,1030.2700346074428
7542,150.84,961.617878263277
7543,150.86,1026.771907340852
7544,150.88,1173.0642171803154
7545,150.9,1299.963854102948
7546,150.92000000000002,1317.9381297939783
7547,150.94,1197.3027295496613
7548,150.96,987.4141526258711
7549,150.98,792.2294881566376
7550,151.0,702.1791372163813
7551,151.02,738.9369068645196
7552,151.04,875.7282093209682
7553,151.06,1106.3486247554426
7554,151.08,1465.3481622528332
7555,151.1,1969.9373805420585
7556,151.12,2570.297195301029
